datum,vizszint,kut_nev,torzsszam
2024-11-11,6.16,Sátorhely,4576
2024-11-11,6.16,Sátorhely,4576
2024-11-11,6.16,Sátorhely,4576
2024-11-11,6.16,Sátorhely,4576
2024-11-11,6.16,Sátorhely,4576
2024-11-12,6.16,Sátorhely,4576
2024-11-12,6.16,Sátorhely,4576
2024-11-12,6.16,Sátorhely,4576
2024-11-12,6.16,Sátorhely,4576
2024-11-12,6.16,Sátorhely,4576
2024-11-12,6.16,Sátorhely,4576
2024-11-13,6.16,Sátorhely,4576
2024-11-13,6.16,Sátorhely,4576
2024-11-13,6.16,Sátorhely,4576
2024-11-13,6.16,Sátorhely,4576
2024-11-13,6.16,Sátorhely,4576
2024-11-13,6.16,Sátorhely,4576
2024-11-14,6.16,Sátorhely,4576
2024-11-14,6.16,Sátorhely,4576
2024-11-14,6.16,Sátorhely,4576
2024-11-14,6.16,Sátorhely,4576
2024-11-14,6.16,Sátorhely,4576
2024-11-14,6.16,Sátorhely,4576
2024-11-15,6.16,Sátorhely,4576
2024-11-15,6.16,Sátorhely,4576
2024-11-15,6.16,Sátorhely,4576
2024-11-15,6.16,Sátorhely,4576
2024-11-15,6.16,Sátorhely,4576
2024-11-15,6.17,Sátorhely,4576
2024-11-16,6.17,Sátorhely,4576
2024-11-16,6.17,Sátorhely,4576
2024-11-16,6.17,Sátorhely,4576
2024-11-16,6.17,Sátorhely,4576
2024-11-16,6.16,Sátorhely,4576
2024-11-16,6.16,Sátorhely,4576
2024-11-17,6.16,Sátorhely,4576
2024-11-17,6.16,Sátorhely,4576
2024-11-17,6.16,Sátorhely,4576
2024-11-17,6.16,Sátorhely,4576
2024-11-17,6.16,Sátorhely,4576
2024-11-17,6.16,Sátorhely,4576
2024-11-18,6.16,Sátorhely,4576
2024-11-18,6.16,Sátorhely,4576
2024-11-18,6.16,Sátorhely,4576
2024-11-18,6.16,Sátorhely,4576
2024-11-18,6.16,Sátorhely,4576
2024-11-18,6.16,Sátorhely,4576
2024-11-19,6.17,Sátorhely,4576
2024-11-19,6.17,Sátorhely,4576
2024-11-19,6.16,Sátorhely,4576
2024-11-19,6.16,Sátorhely,4576
2024-11-19,6.16,Sátorhely,4576
2024-11-19,6.16,Sátorhely,4576
2024-11-20,6.15,Sátorhely,4576
2024-11-20,6.14,Sátorhely,4576
2024-11-20,6.14,Sátorhely,4576
2024-11-20,6.14,Sátorhely,4576
2024-11-20,6.15,Sátorhely,4576
2024-11-20,6.15,Sátorhely,4576
2024-11-21,6.15,Sátorhely,4576
2024-11-21,6.15,Sátorhely,4576
2024-11-21,6.15,Sátorhely,4576
2024-11-21,6.15,Sátorhely,4576
2024-11-21,6.15,Sátorhely,4576
2024-11-21,6.15,Sátorhely,4576
2024-11-22,6.14,Sátorhely,4576
2024-11-22,6.14,Sátorhely,4576
2024-11-22,6.14,Sátorhely,4576
2024-11-22,6.13,Sátorhely,4576
2024-11-22,6.13,Sátorhely,4576
2024-11-22,6.13,Sátorhely,4576
2024-11-23,6.14,Sátorhely,4576
2024-11-23,6.14,Sátorhely,4576
2024-11-23,6.15,Sátorhely,4576
2024-11-23,6.15,Sátorhely,4576
2024-11-23,6.16,Sátorhely,4576
2024-11-23,6.16,Sátorhely,4576
2024-11-24,6.16,Sátorhely,4576
2024-11-24,6.16,Sátorhely,4576
2024-11-24,6.16,Sátorhely,4576
2024-11-24,6.16,Sátorhely,4576
2024-11-24,6.16,Sátorhely,4576
2024-11-24,6.16,Sátorhely,4576
2024-11-25,6.16,Sátorhely,4576
2024-11-25,6.16,Sátorhely,4576
2024-11-25,6.16,Sátorhely,4576
2024-11-25,6.16,Sátorhely,4576
2024-11-25,6.16,Sátorhely,4576
2024-11-25,6.16,Sátorhely,4576
2024-11-26,6.15,Sátorhely,4576
2024-11-26,6.15,Sátorhely,4576
2024-11-26,6.15,Sátorhely,4576
2024-11-26,6.15,Sátorhely,4576
2024-11-26,6.16,Sátorhely,4576
2024-11-26,6.16,Sátorhely,4576
2024-11-27,6.16,Sátorhely,4576
2024-11-27,6.17,Sátorhely,4576
2024-11-27,6.17,Sátorhely,4576
2024-11-27,6.17,Sátorhely,4576
2024-11-27,6.17,Sátorhely,4576
2024-11-27,6.17,Sátorhely,4576
2024-11-28,6.17,Sátorhely,4576
2024-11-28,6.17,Sátorhely,4576
2024-11-28,6.17,Sátorhely,4576
2024-11-28,6.16,Sátorhely,4576
2024-11-28,6.16,Sátorhely,4576
2024-11-28,6.17,Sátorhely,4576
2024-11-29,6.17,Sátorhely,4576
2024-11-29,6.17,Sátorhely,4576
2024-11-29,6.17,Sátorhely,4576
2024-11-29,6.17,Sátorhely,4576
2024-11-29,6.17,Sátorhely,4576
2024-11-29,6.17,Sátorhely,4576
2024-11-30,6.17,Sátorhely,4576
2024-11-30,6.17,Sátorhely,4576
2024-11-30,6.17,Sátorhely,4576
2024-11-30,6.17,Sátorhely,4576
2024-11-30,6.17,Sátorhely,4576
2024-11-30,6.17,Sátorhely,4576
2024-12-01,6.17,Sátorhely,4576
2024-12-01,6.17,Sátorhely,4576
2024-12-01,6.17,Sátorhely,4576
2024-12-01,6.17,Sátorhely,4576
2024-12-01,6.17,Sátorhely,4576
2024-12-01,6.17,Sátorhely,4576
2024-12-02,6.17,Sátorhely,4576
2024-12-02,6.17,Sátorhely,4576
2024-12-02,6.17,Sátorhely,4576
2024-12-02,6.17,Sátorhely,4576
2024-12-02,6.17,Sátorhely,4576
2024-12-02,6.17,Sátorhely,4576
2024-12-03,6.17,Sátorhely,4576
2024-12-03,6.17,Sátorhely,4576
2024-12-03,6.17,Sátorhely,4576
2024-12-03,6.17,Sátorhely,4576
2024-12-03,6.17,Sátorhely,4576
2024-12-03,6.17,Sátorhely,4576
2024-12-04,6.17,Sátorhely,4576
2024-12-04,6.17,Sátorhely,4576
2024-12-04,6.17,Sátorhely,4576
2024-12-04,6.17,Sátorhely,4576
2024-12-04,6.17,Sátorhely,4576
2024-12-04,6.18,Sátorhely,4576
2024-12-05,6.18,Sátorhely,4576
2024-12-05,6.18,Sátorhely,4576
2024-12-05,6.18,Sátorhely,4576
2024-12-05,6.18,Sátorhely,4576
2024-12-05,6.18,Sátorhely,4576
2024-12-05,6.18,Sátorhely,4576
2024-12-06,6.17,Sátorhely,4576
2024-12-06,6.17,Sátorhely,4576
2024-12-06,6.17,Sátorhely,4576
2024-12-06,6.16,Sátorhely,4576
2024-12-06,6.16,Sátorhely,4576
2024-12-06,6.16,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-07,6.17,Sátorhely,4576
2024-12-07,6.17,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-07,6.16,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
2024-12-08,6.15,Sátorhely,4576
